slug,title,location,city,canton,lat,lng
aarberg-be-altstadt-im-aufschwung,Aarberg BE: Altstadt im Aufschwung,"Aarberg, BE",Aarberg,BE,47.0442042,7.2751867
im-alten-ortskern-wohnen,Im alten Ortskern wohnen,"Porrentruy, JU",Porrentruy,JU,47.4169996,7.0750119
appenzell-ausserrhoden-wie-die-haus-analyse-zum-erfolgsmodell-wurde,Appenzell Ausserrhoden: Wie die «Haus-Analyse» zum Erfolgsmodell wurde,"Bühler, AR",Bühler,AR,47.3733859,9.4190227
attisholz-nord-zwischennutzung-als-wegbereiter-zum-urbanen-quartier,Attisholz-Nord: Zwischennutzung als Wegbereiter zum urbanen Quartier,"Riedholz, SO",Riedholz,SO,47.2274923,7.5769876
auf-der-kronenmatt-entsteht-ein-neues-dorfzentrum,Auf der Kronenmatt entsteht ein neues Dorfzentrum ,"Sattel, SZ",Sattel,SZ,47.0812826,8.6339168
aufenthaltsraeume-fuer-menschen-statt-parkplaetze-fuer-autos,Aufenthaltsräume für Menschen statt Parkplätze für Autos ,"La Tour-de-Peilz, VD",La Tour-de-Peilz,VD,46.4530032,6.8577834
aus-einer-kreuzung-wird-ein-dorfplatz,Aus einer Kreuzung wird ein Dorfplatz,"Riehen, BS",Riehen,BS,47.582659,7.652434
aus-dorf-wird-stadt-malters-entwickelt-das-areal-zentrum-bahnhof-weihermatte,Aus Dorf wird Stadt: Malters entwickelt das Areal Zentrum – Bahnhof – Weihermatte ,"Malters , LU",Malters ,LU,47.0379921,8.1795385
baden-merker-areal-zwischennutzung-zeigt-den-weg,"Baden, Merker-Areal: Zwischennutzung zeigt den Weg","Baden, AG",Baden,AG,47.4756875,8.3040176
basel-ch-huningue-f-eine-wahrlich-grenzueberschreitende-planung,Basel (CH) – Huningue (F): Eine wahrlich grenzüberschreitende Planung,"Basel, BS",Basel,BS,47.5717135,7.5836239
bassersdorf-zh-zentrumsplanung,Bassersdorf ZH: Zentrumsplanung,"Bassersdorf, ZH",Bassersdorf,ZH,47.4425026,8.6301728
bern-bruennengut-parkanlage-und-schmelztiegel,"Bern, Brünnengut: Parkanlage und Schmelztiegel","Berne, BE",Berne,BE,46.9469564,7.3799317
bern-alte-feuerwehrkaserne-viktoria,"Bern, Alte Feuerwehrkaserne Viktoria","Bern, BE",Bern,BE,46.9545812,7.4521503
biel-be-gygax-areal-landumlegung-mit-drei-gewinnerinnen,"Biel BE, Gygax-Areal: Landumlegung mit drei Gewinnerinnen","Biel, BE",Biel,BE,47.1432085,7.2638181
biel-terrain-gurzelen-zwischenutzung-auf-stadionbrache,"Biel, Terrain Gurzelen: Zwischenutzung auf Stadionbrache","Biel, BE",Biel,BE,47.1451983,7.2600585
dank-innenentwicklung-zum-qualitaetsvollen-quartierzentrum,Dank Innenentwicklung zum qualitätsvollen Quartierzentrum,"Hergiswil, NW",Hergiswil,NW,46.9871306,8.3123907
das-zentrum-staldenbach-verschafft-freienbach-ein-staedtisches-flair-am-bahnhof,Das Zentrum Staldenbach verschafft Freienbach ein städtisches Flair am Bahnhof,"Freienbach, SZ",Freienbach,SZ,47.2022112,8.7774914
das-quartier-le-corbusier-fuehrt-die-schachbrettartige-stadtstruktur-weiter,Das Quartier «Le Corbusier» führt die schachbrettartige Stadtstruktur weiter,"La Chaux-de-Fonds, NE",La Chaux-de-Fonds,NE,47.0979853,6.8230704
das-mehrgenerationenhaus-im-dorf-ein-ausblick-auf-zukuenftiges-wohnen,Das Mehrgenerationenhaus «Im Dorf»: ein Ausblick auf zukünftiges Wohnen,"Schenkon , LU",Schenkon ,LU,47.173614,8.137499
der-ersatzneubau-der-siedlung-gruenmatt-erweist-ihrem-namen-die-ehre,Der Ersatzneubau der Siedlung Grünmatt erweist ihrem Namen die Ehre,"Zürich, ZH",Zürich,ZH,47.3623063,8.5021965
der-gemeinderat-und-die-bevoelkerung-erneuern-die-planungsinstrumente,Der Gemeinderat und die Bevölkerung erneuern die Planungsinstrumente,"Uznach, SG",Uznach,SG,47.2249397,8.9854025
der-foce-del-fiume-cassarate-schafft-zugang-zum-wasser,Der Foce del Fiume Cassarate schafft Zugang zum Wasser,"Lugano, TI",Lugano,TI,46.0038642,8.9620704
der-erlenmattpark-vereint-stadt-frei-und-gruenraum-mit-naturschutz,"Der Erlenmattpark vereint Stadt-, Frei- und Grünraum mit Naturschutz","Basel, BS",Basel,BS,47.5709643,7.6008197
der-aussenraum-fuehrt-das-quartier-feldbreite-zum-erfolg,Der Aussenraum führt das Quartier Feldbreite zum Erfolg,"Emmen, LU",Emmen,LU,47.076776,8.2906691
der-quartierplan-allmend-ost-schafft-raum-fuer-generationenuebergreifendes-wohnen,Der Quartierplan Allmend Ost schafft Raum für generationenübergreifendes Wohnen,"Alpnach, OW",Alpnach,OW,,
die-obermuehle-wird-umgenutzt-und-ihr-silo-mit-leben-gefuellt,Die Obermühle wird umgenutzt und ihr Silo mit Leben gefüllt,"Baar, ZG",Baar,ZG,47.1976783,8.5324089
die-place-du-velodrome-mutiert-vom-park-zum-stadtplatz,Die Place du Vélodrome mutiert vom Park- zum Stadtplatz,"Genève, GE",Genève,GE,46.1998204,6.130717
die-wohnueberbauung-citypark-als-resultat-einer-sorgfaeltigen-siedlungsverdichtung,Die Wohnüberbauung Citypark als Resultat einer sorgfältigen Siedlungsverdichtung,"Sursee, LU",Sursee,LU,47.1705295,8.1095414
die-wohnsiedlung-turmmatt-wurde-saniert-und-erweitert-statt-rueckgebaut,Die Wohnsiedlung Turmmatt wurde saniert und erweitert statt rückgebaut,"Altdorf, UR",Altdorf,UR,46.87627,8.6505869
die-route-du-centre-wird-fuer-die-zukunft-umgestaltet,Die Route du Centre wird für die Zukunft umgestaltet,"Corminboeuf, FR",Corminboeuf,FR,46.806876,7.100617
die-bevoelkerung-bestimmt-die-zukunft-der-papieri-mit,Die Bevölkerung bestimmt die Zukunft der Papieri mit,"Cham, ZG",Cham,ZG,47.186443,8.4583506
die-bauliche-verdichtung-stoeckacker-sued-schafft-raum-fuer-eine-oekologische-aufwertung,Die bauliche Verdichtung Stöckacker Süd schafft Raum für eine ökologische Aufwertung,"Bern, BE",Bern,BE,46.9430095,7.4025361
die-langjaehrige-siedlungsentwicklung-traegt-fruechte,Die langjährige Siedlungsentwicklung trägt Früchte,"Schlieren, ZH",Schlieren,ZH,47.396112,8.446991
die-warmbaechlibrache-belebt-das-quartier-holligen-bern,Die Warmbächlibrache belebt das Quartier Holligen in Bern ,"Bern, BE",Bern,BE,46.9465675,7.4161682
ein-langer-atem-fuer-eine-gezielte-impulsentwicklung-am-schlossbergplatz,Ein langer Atem für eine gezielte Impulsentwicklung am Schlossbergplatz ,"Baden, AG",Baden,AG,47.4732769,8.3078908
ein-quartierwohnzimmer-fuer-giubiasco,Ein «Quartierwohnzimmer» für Giubiasco,"Giubiasco, TI",Giubiasco,TI,46.1713035,9.0115334
ein-staedtebauliches-und-architektonisches-leitbild-weist-den-weg,Ein städtebauliches und architektonisches Leitbild weist den Weg ,"Cham, ZG",Cham,ZG,47.1804379,8.4584885
st-gallen-zwischennutzung-lattich-belebt-bahnhofsareal-0,"St. Gallen, Zwischennutzung «Lattich» belebt Bahnhofsareal ","St. Gallen, SG",St. Gallen,SG,47.4176137,9.3633543
gebietsentwicklung-widmi-bauen-mit-der-gruenen-wiese,Gebietsentwicklung Widmi - Bauen mit der grünen Wiese,"Lenzburg, AG",Lenzburg,AG,47.3744605,8.1863017
genf-und-vernier-la-concorde-innenentwicklung-einem-bestehenden-quartier,"Genf und Vernier, La Concorde: Innenentwicklung in einem bestehenden Quartier","Vernier, GE",Vernier,GE,46.2081284,6.112053
genossenschaftssiedlung-guggach-8-dorfgefuehl-einer-laermgeschuetzten-siedlung,Genossenschaftssiedlung Guggach 8: Dorfgefühl in einer lärmgeschützten Siedlung,"Zürich, ZH",Zürich,ZH,47.3994786,8.5322825
glarus-nord-der-moderne-neubau-auf-dem-wydenhof-areal-belebt-das-herz-von-naefels,Glarus Nord: Der moderne Neubau auf dem Wydenhof-Areal belebt das Herz von Näfels,"Näfels, GL",Näfels,GL,,
harossen-ost-verdichtete-einfamilienhaeuser-im-laendlichen-raum,Harossen-Ost – verdichtete Einfamilienhäuser im ländlichen Raum,"Brütten, ZH",Brütten,ZH,47.4747678,8.67778
la-jetee-de-la-compagnie-lausanne-und-la-galicienne-prilly,La Jetée de la Compagnie (Lausanne) und La Galicienne (Prilly),"Lausanne , VD",Lausanne ,VD,46.5098516,6.6166428
kammgarn-west-spinnerei-macht-kunst,Kammgarn West: Spinnerei macht Kunst,"Schaffhausen , SH",Schaffhausen ,SH,47.6945127,8.6356526
langnau-am-albis-zh-eine-dichte-zentrumsbebauung-schafft-raum-fuer-einen-dorfplatz,Langnau am Albis ZH: Eine dichte Zentrumsbebauung schafft Raum für einen Dorfplatz,"Langnau am Albis, ZH",Langnau am Albis,ZH,,
lausanne-vd-aus-dem-einstigen-busdepot-wird-ein-quartier-mit-zentrumsfunktion,Lausanne VD: Aus dem einstigen Busdepot wird ein Quartier mit Zentrumsfunktion,"Lausane, VD",Lausane,VD,,
lichtensteig-sg-rathaus-fuer-kultur-0,"Lichtensteig SG, Rathaus für Kultur","Lichtensteig, SG",Lichtensteig,SG,47.3234995,9.0870862
luzern-zwischennutzung-im-alten-hallenbad-biregg,"Luzern, Zwischennutzung im alten Hallenbad Biregg","Luzern, LU",Luzern,LU,47.0415223,8.3065781
markthalle-glarus-vom-leeren-postgebaeude-zum-publikumsmagneten,"Markthalle Glarus, vom leeren Postgebäude zum Publikumsmagneten","Glarus, GL",Glarus,GL,47.0398795,9.0687705
muenchwilen-ag-plant-seine-zukunft,Münchwilen AG plant seine Zukunft ,"Münchwilen, AG",Münchwilen,AG,47.539433,7.9606008
neue-angebote-im-alten-hof,Neue Angebote im alten Hof,"Montfaucon, JU",Montfaucon,JU,47.2821558,7.0515887
neugestaltung-des-oeffentlichen-raums-das-stadtzentrum-wandelt-und-verdichtet-sich,Neugestaltung des öffentlichen Raums: Das Stadtzentrum wandelt und verdichtet sich,"Monthey, VS",Monthey,VS,46.2541564,6.9517058
neugestaltung-der-place-du-marche,Neugestaltung der Place du Marché ,"Renens, VD",Renens,VD,46.5377341,6.58173
neugestaltung-des-zentrums-von-lens-ortsbildschutz-und-begegnungszone,Neugestaltung des Zentrums von Lens: Ortsbildschutz und Begegnungszone,"Lens, VS",Lens,VS,46.2816742,7.4486411
opfikon-zh-wunderkammer-belebt-neubaustadt-0,Opfikon ZH: «Wunderkammer» belebt Neubaustadt,"Glattpark-Opfikon, ZH",Glattpark-Opfikon,ZH,47.4201037,8.5577354
im-ortsteil-wabern-wurde-die-siedlung-nessleren-vertikal-verdichtet,Im Ortsteil Wabern wurde die Siedlung Nessleren vertikal verdichtet,"Köniz, BE",Köniz,BE,46.9209373,7.4638139
prangins-vd-ein-platz-verbindet-mensch-und-geschichte,Prangins VD: Ein Platz verbindet Mensch und Geschichte,"Prangins, VD",Prangins,VD,46.394243,6.2490444
rueti-zh-verdichtung-einem-isos-ortskern,Rüti ZH: Verdichtung in einem ISOS-Ortskern ,"Rüti, ZH",Rüti,ZH,47.2584319,8.8509183
rueti-bei-bueren-be-wie-arbeitszonen-qualitaet-gewinnen,Rüti bei Büren BE: Wie Arbeitszonen an Qualität gewinnen,"Rüti bei Büren, BE",Rüti bei Büren,BE,,
stetten-ag-von-der-brache-zum-dorfzentrum,Stetten AG: Von der Brache zum Dorfzentrum,"Stetten, AG",Stetten,AG,47.4004658,8.3078258
suhr-ag-quartierentwicklung-mit-zwischennutzung-0,"Suhr AG, Quartierentwicklung mit Zwischennutzung","Suhr, AG",Suhr,AG,47.3726215,8.0806275
synthese-von-industriegeschichte-und-neuer-nutzungsvielfalt-im-aeschbachquartier,Synthese von Industriegeschichte und neuer Nutzungsvielfalt im Aeschbachquartier ,"Aarau, AG",Aarau,AG,47.3923211,8.0592196
tempo-20-statt-50-eine-ortsdurchfahrt-hat-das-zeug-zum-dorfplatz,Tempo 20 statt 50: Eine Ortsdurchfahrt hat das Zeug zum Dorfplatz,"Cheseaux-sur-Lausanne, VD",Cheseaux-sur-Lausanne,VD,46.5850963,6.6050821
test-und-gestaltungsplanung-habsburgerstrasse-loest-laermprobleme,Test- und Gestaltungsplanung Habsburgerstrasse löst Lärmprobleme ,"Brugg, AG",Brugg,AG,47.4788776,8.1982425
tinizong-gr-aus-alt-wird-neu,Tinizong GR: Aus Alt wird Neu,"Tinizong, GR",Tinizong,GR,46.5831538,9.6167429
ueberbauung-am-mattenbach-deutet-traditionelle-bauweise-neu,Überbauung am Mattenbach deutet traditionelle Bauweise neu,"Grub, AR",Grub,AR,47.445236,9.5044176
weinfelden-stadtanalyse-und-nutzungsstrategie,Weinfelden: Stadtanalyse und Nutzungsstrategie,"Weinfelden, TG",Weinfelden,TG,47.5660099,9.1085121
windisch-ag-fehlmannmatte-wohnen-und-gewerbe-im-zentrum,Windisch AG: Fehlmannmatte – Wohnen und Gewerbe im Zentrum,"Windisch, AG",Windisch,AG,47.4783981,8.2157104
winterthur-lagerplatz-zwischennutzung-1991-2009-0,"Winterthur, Lagerplatz: Zwischennutzung 1991–2009","Winterthur, ZH",Winterthur,ZH,47.4946463,8.7180111
zuerich-raumboerse-raeume-fuer-junge-kreative,"Zürich, Raumbörse: Räume für junge Kreative","Zürich, ZH",Zürich,ZH,47.3833044,8.5393872
zwischennutzung-ntareal-basel,Zwischennutzung «nt/Areal» in Basel,"Basel, BS",Basel,BS,47.5706952,7.5986935
